id,xloc,yloc
1,-32.65,-3.95
2,-32.64,-3.95
3,-32.63,-3.95
4,-32.62,-3.95
5,-32.61,-3.95
6,-32.6,-3.95
7,-32.59,-3.95
8,-32.58,-3.95
9,-32.57,-3.95
10,-32.56,-3.95
11,-32.55,-3.95
12,-32.54,-3.95
13,-32.53,-3.95
14,-32.52,-3.95
15,-32.51,-3.95
16,-32.5,-3.95
17,-32.49,-3.95
18,-32.48,-3.95
19,-32.47,-3.95
20,-32.46,-3.95
21,-32.45,-3.95
22,-32.44,-3.95
23,-32.43,-3.95
24,-32.42,-3.95
25,-32.41,-3.95
26,-32.4,-3.95
27,-32.39,-3.95
28,-32.38,-3.95
29,-32.37,-3.95
30,-32.36,-3.95
31,-32.35,-3.95
32,-32.34,-3.95
33,-32.33,-3.95
34,-32.32,-3.95
35,-32.31,-3.95
36,-32.3,-3.95
37,-32.29,-3.95
38,-32.28,-3.95
39,-32.27,-3.95
40,-32.26,-3.95
41,-32.25,-3.95
42,-32.24,-3.95
43,-32.23,-3.95
44,-32.22,-3.95
45,-32.21,-3.95
46,-32.2,-3.95
47,-32.19,-3.95
48,-32.18,-3.95
49,-32.17,-3.95
50,-32.16,-3.95
51,-32.65,-3.94
52,-32.64,-3.94
53,-32.63,-3.94
54,-32.62,-3.94
55,-32.61,-3.94
56,-32.6,-3.94
57,-32.59,-3.94
58,-32.58,-3.94
59,-32.57,-3.94
60,-32.56,-3.94
61,-32.55,-3.94
62,-32.54,-3.94
63,-32.53,-3.94
64,-32.52,-3.94
65,-32.51,-3.94
66,-32.5,-3.94
67,-32.49,-3.94
68,-32.48,-3.94
69,-32.47,-3.94
70,-32.46,-3.94
71,-32.45,-3.94
72,-32.44,-3.94
73,-32.43,-3.94
74,-32.42,-3.94
75,-32.41,-3.94
76,-32.4,-3.94
77,-32.39,-3.94
78,-32.38,-3.94
79,-32.37,-3.94
80,-32.36,-3.94
81,-32.35,-3.94
82,-32.34,-3.94
83,-32.33,-3.94
84,-32.32,-3.94
85,-32.31,-3.94
86,-32.3,-3.94
87,-32.29,-3.94
88,-32.28,-3.94
89,-32.27,-3.94
90,-32.26,-3.94
91,-32.25,-3.94
92,-32.24,-3.94
93,-32.23,-3.94
94,-32.22,-3.94
95,-32.21,-3.94
96,-32.2,-3.94
97,-32.19,-3.94
98,-32.18,-3.94
99,-32.17,-3.94
100,-32.16,-3.94
101,-32.65,-3.93
102,-32.64,-3.93
103,-32.63,-3.93
104,-32.62,-3.93
105,-32.61,-3.93
106,-32.6,-3.93
107,-32.59,-3.93
108,-32.58,-3.93
109,-32.57,-3.93
110,-32.56,-3.93
111,-32.55,-3.93
112,-32.54,-3.93
113,-32.53,-3.93
114,-32.52,-3.93
115,-32.51,-3.93
116,-32.5,-3.93
117,-32.49,-3.93
118,-32.48,-3.93
119,-32.47,-3.93
120,-32.46,-3.93
121,-32.45,-3.93
122,-32.44,-3.93
123,-32.43,-3.93
124,-32.42,-3.93
125,-32.41,-3.93
126,-32.4,-3.93
127,-32.39,-3.93
128,-32.38,-3.93
129,-32.37,-3.93
130,-32.36,-3.93
131,-32.35,-3.93
132,-32.34,-3.93
133,-32.33,-3.93
134,-32.32,-3.93
135,-32.31,-3.93
136,-32.3,-3.93
137,-32.29,-3.93
138,-32.28,-3.93
139,-32.27,-3.93
140,-32.26,-3.93
141,-32.25,-3.93
142,-32.24,-3.93
143,-32.23,-3.93
144,-32.22,-3.93
145,-32.21,-3.93
146,-32.2,-3.93
147,-32.19,-3.93
148,-32.18,-3.93
149,-32.17,-3.93
150,-32.16,-3.93
151,-32.65,-3.92
152,-32.64,-3.92
153,-32.63,-3.92
154,-32.62,-3.92
155,-32.61,-3.92
156,-32.6,-3.92
157,-32.59,-3.92
158,-32.58,-3.92
159,-32.57,-3.92
160,-32.56,-3.92
161,-32.55,-3.92
162,-32.54,-3.92
163,-32.53,-3.92
164,-32.52,-3.92
165,-32.51,-3.92
166,-32.5,-3.92
167,-32.49,-3.92
168,-32.48,-3.92
169,-32.47,-3.92
170,-32.46,-3.92
171,-32.45,-3.92
172,-32.44,-3.92
173,-32.43,-3.92
